id,paid_enroll,prv_wk_nbr,prv_wk_min,message,binge,complete
1,1,2,193,0,1,1
2,0,5,194,0,1,1
3,1,1,45,0,0,1
4,1,4,118,0,0,1
5,0,5,247,0,1,1
6,1,2,211,0,1,1
7,1,2,32,0,0,0
8,1,5,244,0,1,1
9,0,3,130,0,1,1
10,1,2,121,0,1,1
11,0,2,212,0,1,1
12,1,4,353,0,1,1
13,1,3,94,0,1,0
14,1,4,205,0,1,1
15,0,3,442,0,1,1
16,0,2,17,0,0,0
17,1,5,401,0,1,1
18,1,4,362,0,1,1
19,1,4,297,0,1,1
20,1,5,348,0,1,1
21,0,2,230,0,1,1
22,1,3,294,0,1,1
23,1,3,306,0,1,1
24,1,5,450,0,1,1
25,1,5,95,0,0,0
26,1,4,425,0,1,1
27,0,3,373,0,1,1
28,0,2,346,0,1,1
29,0,4,210,0,1,1
30,1,5,455,0,1,1
31,0,4,114,0,1,1
32,0,7,287,0,1,1
33,1,4,304,0,1,1
34,1,7,262,0,1,1
35,1,4,61,0,0,0
36,1,7,147,0,1,1
37,0,4,248,0,1,1
38,1,2,91,0,1,1
39,1,4,245,0,1,1
40,0,2,222,0,1,1
41,1,3,415,0,1,1
42,1,5,178,0,1,1
43,0,5,370,0,1,1
44,1,2,422,0,1,1
45,1,3,311,0,1,1
46,1,3,347,0,1,1
47,1,1,78,0,0,0
48,1,3,199,0,1,1
49,1,5,260,0,1,1
50,1,4,121,0,1,1
51,0,2,118,0,1,1
52,1,3,301,0,1,1
53,1,3,124,0,1,1
54,1,4,175,0,0,1
55,1,4,255,0,1,1
56,0,4,254,0,1,1
57,1,5,77,0,1,0
58,1,3,435,0,1,1
59,1,4,230,0,1,1
60,1,3,291,0,1,1
61,1,3,62,0,0,1
62,0,3,47,0,0,0
63,0,1,475,0,1,1
64,1,4,195,0,1,1
65,0,2,452,0,1,1
66,1,3,341,0,1,1
67,1,5,106,0,1,1
68,0,3,144,0,1,1
69,1,3,293,0,1,1
70,1,4,86,0,1,0
71,1,3,149,0,1,1
72,0,4,350,0,1,1
73,1,3,24,0,0,0
74,0,4,261,0,1,1
75,0,2,285,0,1,1
76,0,3,27,0,0,0
77,1,3,252,0,1,1
78,0,4,227,0,1,1
79,1,2,77,0,1,1
80,1,7,230,0,1,1
81,0,4,201,0,1,1
82,0,3,24,0,0,0
83,1,3,316,0,1,1
84,1,5,127,0,1,1
85,0,3,253,0,1,1
86,0,4,77,0,1,1
87,1,2,26,0,1,0
88,0,1,268,0,1,1
89,1,2,332,0,1,1
90,1,3,159,0,1,1
91,1,3,349,0,1,1
92,1,5,136,0,1,0
93,1,5,379,0,1,1
94,0,2,173,0,1,1
95,0,5,245,0,1,1
96,1,5,93,0,0,1
97,1,2,362,0,1,1
98,1,5,194,0,1,1
99,0,3,206,0,1,0
100,0,5,175,0,1,1
101,1,4,230,0,1,1
102,1,3,430,0,1,1
103,0,5,396,0,1,1
104,0,5,174,0,1,1
105,1,3,286,0,1,1
106,1,2,404,0,1,1
107,1,1,16,0,0,1
